Rank,Release Group,Worldwide,Domestic,%,Foreign,%.1,filename,year,Domestic %,Foreign %
1099,Let's Be Cops,138224951,82390774,59.6%,55834177,40.4%,2014.csv,2014,0.5960629640592168,0.40393703594078323
1100,Bridge to Terabithia,137587063,82272442,59.8%,55314621,40.2%,2007.csv,2007,0.5979664090947272,0.40203359090527285
1101,Stardust,137515140,38634938,28.1%,98880202,71.9%,2007.csv,2007,0.28095043207606085,0.7190495679239391
1102,Escape Plan,137328301,25135965,18.3%,112192336,81.7%,2013.csv,2013,0.18303557836923942,0.8169644216307606
1103,Death on the Nile,137301929,45630104,33.2%,91671825,66.8%,2022.csv,2022,0.3323340344329758,0.6676659655670242
1104,The First Purge,137056262,69488745,50.7%,67567517,49.3%,2018.csv,2018,0.5070089026650968,0.49299109733490326
1105,Annie,136853506,85911262,62.8%,50942244,37.2%,2014.csv,2014,0.6277607677804031,0.3722392322195969
1106,The Best Exotic Marigold Hotel,136836156,46412041,33.9%,90424115,66.1%,2012.csv,2012,0.3391796609662142,0.6608203390337858
1107,How Long Will I Love U,136796719,746933,0.5%,136049786,99.5%,2018.csv,2018,0.005460167505918033,0.994539832494082
1108,Remember the Titans,136706683,115654751,84.6%,21051932,15.4%,2000.csv,2000,0.8460065628247304,0.15399343717526962
1109,Skiptrace,136579287,0,-,136579287,100%,2016.csv,2016,0.0,1.0
1110,Contagion,136515867,75658097,55.4%,60857770,44.6%,2011.csv,2011,0.5542073508568788,0.4457926491431212
1111,Ransom,136492681,136492681,100%,0,-,1996.csv,1996,1.0,0.0
1112,The Wind Rises,136454220,5209580,3.8%,131244640,96.2%,2012.csv,2012,0.03817822563494189,0.9618217743650581
1113,The Bounty Hunter,136333522,67061228,49.2%,69272294,50.8%,2010.csv,2010,0.49189096721201114,0.5081090327879888
1114,17 Again,136316880,64167069,47.1%,72149811,52.9%,2009.csv,2009,0.4707199064415207,0.5292800935584794
1115,101 Dalmatians,136189294,136189294,100%,0,-,1996.csv,1996,1.0,0.0
1116,Lost in Space,136159423,69117629,50.8%,67041794,49.2%,1998.csv,1998,0.507622810651893,0.49237718934810704
1117,Saw: The Final Chapter,136150434,45710178,33.6%,90440256,66.4%,2010.csv,2010,0.3357328849939619,0.6642671150060381
1118,Unknown,135710029,63686397,46.9%,72023632,53.1%,2011.csv,2011,0.4692829076029451,0.5307170923970549
1119,The Jungle Book 2,135703599,47901582,35.3%,87802017,64.7%,2003.csv,2003,0.35298682093169836,0.6470131790683017
1120,Jack Ryan: Shadow Recruit,135503748,50577412,37.3%,84926336,62.7%,2014.csv,2014,0.3732547087922616,0.6267452912077384
1121,Babel,135330182,34302837,25.3%,101027345,74.7%,2006.csv,2006,0.2534751412659742,0.7465248587340257
1122,Perfume: The Story of a Murderer,135039924,2223293,1.6%,132816631,98.4%,2006.csv,2006,0.016463968092873038,0.983536031907127
1123,American Made,134866593,51342000,38.1%,83524593,61.9%,2017.csv,2017,0.3806873063072039,0.6193126936927961
1124,Wall Street: Money Never Sleeps,134748021,52474616,38.9%,82273405,61.1%,2010.csv,2010,0.38942773044510987,0.6105722695548902
1125,The Princess Diaries 2: Royal Engagement,134734481,95170481,70.6%,39564000,29.4%,2004.csv,2004,0.7063557917293644,0.29364420827063564
1126,Inspector Gadget,134403112,97403112,72.5%,37000000,27.5%,1999.csv,1999,0.7247087552556075,0.27529124474439254
