Rank,Release Group,Worldwide,Domestic,%,Foreign,%
93,The Unholy,"$30,832,137","$15,532,137",50.4%,"$15,300,000",49.6%
94,The Last Duel,"$30,552,111","$10,853,945",35.5%,"$19,698,166",64.5%
95,The Little Things,"$29,942,746","$15,342,746",51.2%,"$14,600,000",48.8%
96,Escape from Mogadishu,"$29,874,017","$346,271",1.2%,"$29,527,746",98.8%
97,Master,"$28,692,230",-,-,"$28,692,230",100%
98,The Last Warrior: Root of Evil,"$28,357,398",-,-,"$28,357,398",100%
99,American Underdog,"$26,514,814","$26,514,814",100%,-,-
100,Chaos Walking,"$26,508,132","$13,287,908",50.1%,"$13,220,224",49.9%
101,The Courier,"$26,001,227","$6,613,432",25.4%,"$19,387,795",74.6%
102,Spencer,"$23,732,950","$7,086,632",29.9%,"$16,646,318",70.1%
103,Those Who Wish Me Dead,"$23,468,586","$7,407,200",31.6%,"$16,061,386",68.4%
104,The Marksman,"$23,076,711","$15,566,093",67.5%,"$7,510,618",32.5%
105,99.9 Criminal Lawyer: The Movie,"$23,055,069",-,-,"$23,055,069",100%
106,Last Night in Soho,"$22,957,625","$10,127,625",44.1%,"$12,830,000",55.9%
107,The Day We Lit Up the Sky,"$22,500,000",-,-,"$22,500,000",100%
108,Kaamelott: First Installment,"$21,969,341","$188,000",0.9%,"$21,781,341",99.1%
109,Parallel Mothers,"$21,811,962","$2,297,501",10.5%,"$19,514,461",89.5%
110,After We Fell,"$21,610,371","$2,170,750",10%,"$19,439,621",90%
111,Rurouni Kenshin: Final Chapter Part II - The Beginning,"$21,318,560",-,-,"$21,318,560",100%
112,Wish Dragon,"$21,120,000",-,-,"$21,120,000",100%
113,Stillwater,"$19,753,611","$14,465,535",73.2%,"$5,288,076",26.8%
114,The Wolf and the Lion,"$19,456,454","$2,072,173",10.7%,"$17,384,281",89.3%
115,Les Tuche 4,"$19,259,766",-,-,"$19,259,766",100%
116,Dear Evan Hansen,"$19,123,412","$15,002,646",78.5%,"$4,120,766",21.5%
117,The Pioneer,"$18,900,000",-,-,"$18,900,000",100%
118,The Green Knight,"$18,888,418","$17,173,321",90.9%,"$1,715,097",9.1%
119,Antlers,"$18,867,659","$10,619,670",56.3%,"$8,247,989",43.7%
120,Sinkhole,"$18,804,231",-,-,"$18,804,231",100%
121,Mobile Suit Gundam: Hathaway,"$18,731,309",-,-,"$18,731,309",100%
122,The Stronghold,"$18,066,143",-,-,"$18,066,143",100%
123,Bo Gia,"$17,480,489","$350,000",2%,"$17,130,489",98%
124,The Dry,"$17,424,378","$364,237",2.1%,"$17,060,141",97.9%
125,Gintama: The Final,"$17,252,960",-,-,"$17,252,960",100%
126,Railway Heroes,"$17,223,542",-,-,"$17,223,542",100%
127,Your Turn to Kill,"$16,511,822",-,-,"$16,511,822",100%
128,Upon the Magic Roads,"$15,990,882",-,-,"$15,990,882",100%
129,Reminiscence,"$15,800,193","$3,900,193",24.7%,"$11,900,000",75.3%
130,Cry Macho,"$15,522,017","$10,310,734",66.4%,"$5,211,283",33.6%
131,The Night House,"$15,437,703","$7,100,581",46%,"$8,337,122",54%
132,Minari,"$15,322,552","$3,110,580",20.3%,"$12,211,972",79.7%
133,Drive My Car,"$15,296,777","$2,352,240",15.4%,"$12,944,537",84.6%
134,Something About Love,"$15,204,017",-,-,"$15,204,017",100%
135,Anita,"$15,026,604","$556,632",3.7%,"$14,469,972",96.3%
136,The Tomorrow War,"$14,400,000",-,-,"$14,400,000",100%
137,And So the Baton Is Passed,"$14,368,469",-,-,"$14,368,469",100%
138,Crayon Shin-chan: Shrouded in Mystery! The Flowers of Tenkasu Academy,"$14,059,824",-,-,"$14,059,824",100%
139,Sword Art Online: Progressive - Aria of a Starless Night,"$14,037,060","$1,050,000",7.5%,"$12,987,060",92.5%
140,Christmas with the Chosen: The Messengers,"$13,728,000","$13,728,000",100%,-,-
141,OSS 117: From Africa with Love,"$13,433,702",-,-,"$13,433,702",100%
142,Eiffel,"$13,256,471","$103,016",0.8%,"$13,153,455",99.2%
143,School of Magical Animals,"$13,189,042",-,-,"$13,189,042",100%
